problem,time-hsp,plan_length-hsp,time-sat,plan_length-sat
blocks_1,0.10,6,0.06,6
blocks_3,0.10,6,0.07,6
blocks_2,0.12,10,0.06,10
blocks_4,0.16,12,0.08,12
blocks_5,0.16,10,0.06,16
blocks_6,0.16,16,0.07,16
blocks_7,0.19,12,0.06,12
depots_1,0.22,10,0.08,10
blocks_8,0.23,10,0.07,10
gripper_1,0.28,9,0.05,9
blocks_9,0.35,20,0.07,20
depots_2,0.75,15,0.15,15
blocks_10,1.02,20,0.07,20
blocks_11,1.71,22,0.08,22
blocks_12,1.72,20,0.08,20
gripper_2,2.21,13,0.05,13
blocks_15,4.26,16,0.07,16
blocks_13,5.34,18,0.08,18
blocks_14,7.71,20,0.07,20
